average_temperature,elapsed,execution_interval,heater_on,t1,t2,t3,time,time_t1,time_t2,time_t3
24.125,2.6651883125305176,3,False,23.062,24.25,24.0,1619127283608105893,1619127281850734925,1619127282728155225,1619127283608100356
24.125,2.6246633529663086,3,False,23.125,24.25,24.0,1619127286568072878,1619127284808104794,1619127285688101909,1619127286568067896
24.125,2.7442376613616943,3,False,23.125,24.25,24.0,1619127289688085000,1619127287928137144,1619127288808100340,1619127289688079223
24.125,2.633772373199463,3,True,23.125,24.25,24.0,1619127292577951513,1619127290808118811,1619127291688096309,1619127292577946735
24.125,2.6635353565216064,3,True,23.125,24.25,24.0,1619127295608101606,1619127293848126876,1619127294728097416,1619127295608096014
24.187,2.7831597328186035,3,True,23.125,24.312,24.062,1619127298728115199,1619127296968105808,1619127297848117058,1619127298728110291
24.187,2.662876605987549,3,True,23.125,24.312,24.062,1619127301608107045,1619127299848104144,1619127300728086844,1619127301608101749
24.187,2.70247483253479,3,True,23.125,24.312,24.062,1619127304648096034,1619127302888150824,1619127303768105345,1619127304648090553
24.187,2.662144660949707,3,True,23.125,24.312,24.062,1619127307608124563,1619127305848105713,1619127306728091554,1619127307608118785
24.25,2.701724052429199,3,True,23.125,24.375,24.125,1619127310648105128,1619127308888123321,1619127309768083576,1619127310648099646
24.25,2.6611547470092773,3,True,23.125,24.375,24.125,1619127313607907291,1619127311848113415,1619127312728149600,1619127313607902439
24.281,2.700961112976074,3,True,23.125,24.375,24.187,1619127316648088114,1619127314888105193,1619127315768081977,1619127316648082948
24.375,2.7406022548675537,3,True,23.125,24.5,24.25,1619127319688092941,1619127317928135045,1619127318808100928,1619127319688087626
24.406,2.7003493309020996,3,False,23.125,24.5,24.312,1619127322648154157,1619127320888145510,1619127321768108194,1619127322648148509
24.4685,2.659935474395752,3,False,23.125,24.562,24.375,1619127325608102374,1619127323847968681,1619127324728086887,1619127325608097078
24.5625,2.7795495986938477,3,False,23.125,24.625,24.5,1619127328728112074,1619127326968116127,1619127327848123025,1619127328728106371
24.6875,2.6592559814453125,3,False,23.125,24.75,24.625,1619127331608098327,1619127329848112350,1619127330728110162,1619127331608092919
24.781,2.6988818645477295,3,False,23.125,24.812,24.75,1619127334648116618,1619127332888156445,1619127333768117318,1619127334648110785
24.875,2.7385623455047607,3,False,23.187,24.875,24.875,1619127337688152003,1619127335928120968,1619127336807565096,1619127337688146577
25.0,2.6982343196868896,3,False,23.125,25.0,25.0,1619127340648141144,1619127338888170468,1619127339768087575,1619127340648135200
25.0935,2.657870292663574,3,False,23.187,25.062,25.125,1619127343608132155,1619127341848146543,1619127342727932435,1619127343608126655
25.156,2.697451591491699,3,False,23.125,25.125,25.187,1619127346648116447,1619127344888133417,1619127345768138440,1619127346648111281
25.3125,2.737093210220337,3,False,23.125,25.25,25.375,1619127349688120276,1619127347928151124,1619127348808108542,1619127349688114332
25.406,2.6966021060943604,3,False,23.125,25.312,25.5,1619127352647962510,1619127350888131104,1619127351768129879,1619127352647957547
25.531,2.6563985347747803,3,False,23.125,25.437,25.625,1619127355608106996,1619127353848123990,1619127354728097789,1619127355608101700
25.656,2.776003360748291,3,False,23.125,25.562,25.75,1619127358728107848,1619127356968111331,1619127357848125431,1619127358728102625
25.7185,2.6557257175445557,3,False,23.125,25.625,25.812,1619127361608108902,1619127359848119135,1619127360728094074,1619127361608103440
25.8435,2.695896863937378,3,False,23.125,25.75,25.937,1619127364648682552,1619127362888158320,1619127363768110246,1619127364648677070
25.9685,2.654940128326416,3,False,23.125,25.875,26.062,1619127367608088897,1619127365848121609,1619127366728087466,1619127367608083342
26.062,2.774552822113037,3,False,23.125,25.937,26.187,1619127370728112505,1619127368968137355,1619127369848095384,1619127370728106950
26.187,2.6542773246765137,3,False,23.125,26.062,26.312,1619127373608117553,1619127371848119689,1619127372747935320,1619127373608111738
26.312,2.6938421726226807,3,False,23.125,26.187,26.437,1619127376648085874,1619127374887916522,1619127375768113075,1619127376648080522
26.406,2.733471155166626,3,False,23.125,26.25,26.562,1619127379688085472,1619127377928145124,1619127378808113279,1619127379688080490
26.4995,2.6931862831115723,3,False,23.187,26.312,26.687,1619127382648118447,1619127380888116443,1619127381768097583,1619127382648112799
26.5935,2.652803659439087,3,False,23.187,26.437,26.75,1619127385608109624,1619127383848139499,1619127384728096645,1619127385608103698
26.7185,2.772397518157959,3,False,23.187,26.562,26.875,1619127388728107524,1619127386968117944,1619127387848132001,1619127388728102283
26.781,2.6622514724731445,3,False,23.125,26.625,26.937,1619127391618245333,1619127389848114097,1619127390728102474,1619127391618240037
26.906,2.691861629486084,3,False,23.187,26.75,27.062,1619127394648247884,1619127392898156622,1619127393768141947,1619127394648242255
26.9685,2.730712413787842,3,False,23.187,26.812,27.125,1619127397687510502,1619127395928118180,1619127396808096845,1619127397687507817
27.0625,2.6911003589630127,3,False,23.125,26.875,27.25,1619127400648165953,1619127398888134910,1619127399768095432,1619127400648160083
27.1245,2.7306060791015625,3,False,23.187,26.937,27.312,1619127403688146241,1619127401928154058,1619127402807932495,1619127403688140685
27.2495,2.6102170944213867,3,False,23.125,27.062,27.437,1619127406568085334,1619127404808130512,1619127405687913194,1619127406568079871
27.3125,2.729764699935913,3,False,23.187,27.125,27.5,1619127409688090555,1619127407928179871,1619127408808127092,1619127409688084704
27.3745,2.689473867416382,3,False,23.125,27.187,27.562,1619127412648131339,1619127410888155332,1619127411768124817,1619127412648125766
27.4995,2.6491100788116455,3,False,23.125,27.312,27.687,1619127415608146732,1619127413848280047,1619127414728105428,1619127415608140713
27.5625,2.7687313556671143,3,False,23.125,27.375,27.75,1619127418728163595,1619127416968123829,1619127417848141008,1619127418728157373
27.6245,2.6484158039093018,3,False,23.125,27.437,27.812,1619127421608140060,1619127419848128785,1619127420728130468,1619127421608134430
27.6875,2.687979221343994,3,False,23.125,27.5,27.875,1619127424648122126,1619127422887936492,1619127423768109770,1619127424648116274
27.7495,2.727597951889038,3,False,23.125,27.562,27.937,1619127427688116577,1619127425928123357,1619127426808135105,1619127427688111022
27.8125,2.6872639656066895,3,False,23.187,27.625,28.0,1619127430648118547,1619127428888170780,1619127429768096052,1619127430648112862
27.8745,2.7268924713134766,3,False,23.125,27.687,28.062,1619127433688116992,1619127431928136847,1619127432848009262,1619127433688111659
27.9375,2.606538772583008,3,False,23.125,27.75,28.125,1619127436568105715,1619127434808164005,1619127435688142286,1619127436568099641
27.9995,2.726062774658203,3,False,23.125,27.812,28.187,1619127439688089283,1619127437928169952,1619127438808127163,1619127439688083728
28.0625,2.6857492923736572,3,False,23.125,27.875,28.25,1619127442648110812,1619127440888154214,1619127441768189873,1619127442648104868
28.1245,2.6454083919525146,3,False,23.187,27.937,28.312,1619127445608163114,1619127443848139805,1619127444728084784,1619127445608157355
28.1875,2.764974594116211,3,False,23.125,28.0,28.375,1619127448728151525,1619127446968125243,1619127447848192021,1619127448728145728
28.2185,2.6446585655212402,3,False,23.125,28.062,28.375,1619127451608129801,1619127449848117734,1619127450728136924,1619127451608124653
28.281,2.684304714202881,3,False,23.187,28.125,28.437,1619127454648192944,1619127452897923004,1619127453768131582,1619127454648187092
28.3125,2.733438014984131,3,False,23.125,28.125,28.5,1619127457697739093,1619127455928115500,1619127456807722817,1619127457697736019
28.3435,2.6835906505584717,3,False,23.125,28.187,28.5,1619127460648169200,1619127458888139959,1619127459768092107,1619127460648163552
28.406,2.7231931686401367,3,False,23.187,28.25,28.562,1619127463688147054,1619127461928273340,1619127462808094698,1619127463688141888
28.406,2.682819366455078,3,False,23.125,28.25,28.562,1619127466648114903,1619127464888115441,1619127465768159356,1619127466648109088
28.4685,2.802422046661377,3,False,23.187,28.312,28.625,1619127469768097901,1619127468008139429,1619127468888129479,1619127469768092419
28.531,2.6821768283843994,3,False,23.187,28.375,28.687,1619127472648107403,1619127470888152368,1619127471768132033,1619127472648101644
28.531,2.641747236251831,3,False,23.125,28.375,28.687,1619127475608124385,1619127473848131528,1619127474728101734,1619127475608118737
28.562,2.761321544647217,3,False,23.187,28.437,28.687,1619127478728143481,1619127476968146541,1619127477848093197,1619127478728138203
28.5935,2.641040802001953,3,False,23.187,28.437,28.75,1619127481608168468,1619127479848146206,1619127480728138012,1619127481608162949
28.625,2.6805408000946045,3,False,23.125,28.5,28.75,1619127484648097775,1619127482888166281,1619127483768141388,1619127484648092015
28.656,2.720046281814575,3,False,23.187,28.5,28.812,1619127487687991466,1619127485928151130,1619127486808093686,1619127487687985541
28.687,2.759852886199951,3,False,23.125,28.562,28.812,1619127490728144112,1619127488968144585,1619127489848114237,1619127490728138316
28.687,2.639561653137207,3,False,23.125,28.562,28.812,1619127493608150300,1619127491848115617,1619127492728132995,1619127493608144244
28.7185,2.6790883541107178,3,False,23.187,28.562,28.875,1619127496648111106,1619127494888150895,1619127495768139852,1619127496648105735
28.75,2.718712091445923,3,False,23.125,28.625,28.875,1619127499688121017,1619127497928128410,1619127498808130241,1619127499688115036
